"modid","translated","total","remaining","percent","sourceJar","zh_tw_path"
"ftbunearthed","0","40","40","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-unearthed-21.1.9.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftbunearthed\lang\zh_tw.json"
"minecraft","892","931","39","95.8","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\minecraft\lang\zh_tw.json"
"rftoolsbuilder","0","39","39","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\rftoolsbuilder-1.21-7.0.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\rftoolsbuilder\lang\zh_tw.json"
"ars_hex","0","38","38","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ars_hex-1.21.1-5.0.4b.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ars_hex\lang\zh_tw.json"
"reliquified_twilight_forest","0","38","38","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\reliquified_twilight_forest-1.21.1-0.5.2.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\reliquified_twilight_forest\lang\zh_tw.json"
"affix","1148","1184","36","97","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Apotheosis-1.21.1-8.4.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\affix\lang\zh_tw.json"
"guideme","0","36","36","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\guideme-21.1.15.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\guideme\lang\zh_tw.json"
"moreoverlays","0","36","36","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\moreoverlays-1.24.2-mc1.21.1-neoforge.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\moreoverlays\lang\zh_tw.json"
"stonechest","0","36","36","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\stonechest-1.21.1-1.0.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\stonechest\lang\zh_tw.json"
"jade","435","470","35","92.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Apotheosis-1.21.1-8.4.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\jade\lang\zh_tw.json"
"inventoryessentials","0","35","35","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\inventoryessentials-neoforge-1.21.1-21.1.12.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\inventoryessentials\lang\zh_tw.json"
"farmersdelight","286","320","34","89.4","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\FarmersDelight-1.21.1-1.2.9.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\farmersdelight\lang\zh_tw.json"
"ftbfiltersystem","0","34","34","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-filter-system-neoforge-21.1.3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftbfiltersystem\lang\zh_tw.json"
"property","0","33","33","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\crystalix-2.4.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\property\lang\zh_tw.json"
"ali","515","547","32","94.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\AdvancedLootInfo-neoforge-1.21.1-1.6.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ali\lang\zh_tw.json"
"itemgroup","114","146","32","78.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\itemgroup\lang\zh_tw.json"
"screen","79","111","32","71.2","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\BHMenu-NeoForge-1.21-2.4.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\screen\lang\zh_tw.json"
"bhc","0","32","32","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\baubley-heart-canisters-1.21.1-1.3.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\bhc\lang\zh_tw.json"
"extrastorage","0","32","32","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ExtraStorage-1.21.1-5.0.8.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\extrastorage\lang\zh_tw.json"
"filter","41","72","31","56.9","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-filter-system-neoforge-21.1.3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\filter\lang\zh_tw.json"
"morered","20","49","29","40.8","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\morered-1.21.1-6.0.0.3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\morered\lang\zh_tw.json"
"justzoom","0","29","29","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\justzoom_neoforge_2.1.0_MC_1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\justzoom\lang\zh_tw.json"
"main_screen","0","29","29","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ExtremeSoundMuffler-3.52_NeoForge-1.21.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\main_screen\lang\zh_tw.json"
"death","448","476","28","94.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\death\lang\zh_tw.json"
"pocketstorage","0","28","28","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\pocketstorage-1.2.5+1.21.1-b3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\pocketstorage\lang\zh_tw.json"
"rconfig","0","28","28","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\resourcefulconfig-neoforge-1.21-3.0.11.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\rconfig\lang\zh_tw.json"
"schematicenergistics","0","28","28","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\schematicenergistics-1.21.1-1.3.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\schematicenergistics\lang\zh_tw.json"
"tip","88","115","27","76.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\AvaritiaNeo-1.21-1.2.8.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\tip\lang\zh_tw.json"
"modonomicon","39","66","27","59.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\modonomicon-1.21.1-neoforge-1.117.2.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\modonomicon\lang\zh_tw.json"
"villagerconfig","0","27","27","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\villagerconfig-neoforge-4.5.2+1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\villagerconfig\lang\zh_tw.json"
"malum","2891","2917","26","99.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\gaze-1.1.7.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\malum\lang\zh_tw.json"
"titanium","0","26","26","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\titanium-1.21-4.0.40.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\titanium\lang\zh_tw.json"
"rftoolsbase","0","25","25","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\rftoolsbase-1.21-6.0.10.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\rftoolsbase\lang\zh_tw.json"
"reliquified_ars_nouveau","0","23","23","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\reliquified_ars_nouveau-1.21.1-0.6.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\reliquified_ars_nouveau\lang\zh_tw.json"
"modernfix","130","152","22","85.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\modernfix-neoforge-5.25.1+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\modernfix\lang\zh_tw.json"
"ui","90","112","22","80.4","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Clavis-NEOFORGE-0.2.10+1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ui\lang\zh_tw.json"
"rule","9","31","22","29","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Clavis-NEOFORGE-0.2.10+1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\rule\lang\zh_tw.json"
"inventorysorter","0","22","22","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\inventorysorter-1.21.1-24.0.24.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\inventorysorter\lang\zh_tw.json"
"modules","0","22","22","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\BHMenu-NeoForge-1.21-2.4.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\modules\lang\zh_tw.json"
"jearchaeology","0","21","21","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\jearchaeology-1.21.1-1.1.6.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\jearchaeology\lang\zh_tw.json"
"rftoolspower","0","21","21","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\rftoolspower-1.21-7.0.5.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\rftoolspower\lang\zh_tw.json"
"step","0","21","21","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\BHMenu-NeoForge-1.21-2.4.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\step\lang\zh_tw.json"
"xycraft_machines","146","166","20","88","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\xycraft_core-0.7.53-all.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\xycraft_machines\lang\zh_tw.json"
"compactmachines","0","20","20","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\compactmachines-neoforge-7.0.78.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\compactmachines\lang\zh_tw.json"
"roost_chicken","0","20","20","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\roostultimate_1.21.1-curse-4.1.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\roost_chicken\lang\zh_tw.json"
"jei","388","407","19","95.3","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\jei\lang\zh_tw.json"
"justdynathings","64","83","19","77.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\justdynathings-1.14.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\justdynathings\lang\zh_tw.json"
"farmingforblockheads","13","32","19","40.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\farmingforblockheads-neoforge-1.21.1-21.1.10.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\farmingforblockheads\lang\zh_tw.json"
"custommachineryars","0","19","19","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\custom_machinery_ars-1.2.2.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\custommachineryars\lang\zh_tw.json"
"artifacts","394","412","18","95.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\artifacts-neoforge-13.1.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\artifacts\lang\zh_tw.json"
"ccl","0","18","18","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\CodeChickenLib-1.21.1-4.6.1.526.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ccl\lang\zh_tw.json"
"trashslot","6","23","17","26.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\trashslot-neoforge-1.21.1-21.1.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\trashslot\lang\zh_tw.json"
"ars_creo","0","17","17","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ars_creo-1.21.1-5.1.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ars_creo\lang\zh_tw.json"
"jags","0","17","17","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\jags-neo-21.1.5+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\jags\lang\zh_tw.json"
"mecrh","0","17","17","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\mighty-ender-chicken-rehatched-21.1.5.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\mecrh\lang\zh_tw.json"
"xnetgases","0","17","17","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\xnetgases-1.21.1-6.0.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\xnetgases\lang\zh_tw.json"
"subtitle","48","64","16","75","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Apotheosis-1.21.1-8.4.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\subtitle\lang\zh_tw.json"
