"modid","translated","total","remaining","percent"
"lodestone","31","31","0","100%"
"laserio","95","95","0","100%"
"leaderboards","87","87","0","100%"
"lollipop","50","50","0","100%"
"magiccoinstweak","3","3","0","100%"
"malum","2742","2742","0","100%"
"lychee","122","122","0","100%"
"magic_coins","18","18","0","100%"
"tempad","164","164","0","100%"
"tempad_static","84","84","0","100%"
"supplementaries","677","677","0","100%"
"synesthesia","8","8","0","100%"
"tesseract","50","50","0","100%"
"toolbelt","13","13","0","100%"
"toolkit","270","270","0","100%"
"tipsmod","82","82","0","100%"
"titanium","53","53","0","100%"
"structurify","67","67","0","100%"
"sophisticatedstorage","292","292","0","100%"
"soulplied_energistics","4","4","0","100%"
"sophisticatedbackpacks","257","257","0","100%"
"sophisticatedcore","301","301","0","100%"
"squatgrow","4","4","0","100%"
"stonechest","36","36","0","100%"
"structures_tweaker","6","6","0","100%"
"starbunclemania","149","149","0","100%"
"statuseffectbars","58","58","0","100%"
"woodenshears","7","7","0","100%"
"xnet","186","186","0","100%"
"utilitarian","79","79","0","100%"
"villagerconfig","27","27","0","100%"
"xnetgases","17","17","0","100%"
"xycraft_machines","225","225","0","100%"
"xycraft_world","324","324","0","100%"
"xp_synthesiser","15","15","0","100%"
"xycraft_core","106","106","0","100%"
"universalgrid","16","16","0","100%"
"trade_cycling","2","2","0","100%"
"transfer_labels","21","21","0","100%"
"tooltipoverhaul","9","9","0","100%"
"torchmaster","32","32","0","100%"
"trashcans","32","32","0","100%"
"twilightforest","2055","2055","0","100%"
"underlay","3","3","0","100%"
"trashslot","24","24","0","100%"
"trophymanager","2","2","0","100%"
"solcarrot","60","60","0","100%"
"reliquified_twilight_forest","190","190","0","100%"
"rep_ae2_bridge","12","12","0","100%"
"reliquified_ars_nouveau","122","122","0","100%"
"reliquified_lenders_cataclysm","39","39","0","100%"
"repeatable_trial_vaults","1","1","0","100%"
"replication_rs2_bridge","5","5","0","100%"
"resourcefulconfig","28","28","0","100%"
"replication","78","78","0","100%"
"replication_matter_overflow","7","7","0","100%"
"relics","261","261","0","100%"
"rechiseled_chipped","0","0","0","0%"
"refinedstorage","768","768","0","100%"
"yet_another_config_lib_v3","26","26","0","100%"
"rechiseled","1222","1222","0","100%"
"refinedstorage_curios_integration","1","1","0","100%"
"refinedstorage_quartz_arsenal","22","22","0","100%"
"refinedtypes","152","152","0","100%"
"refinedstorage_jei_integration","10","10","0","100%"
"refinedstorage_mekanism_integration","37","37","0","100%"
"sfm","259","259","0","100%"
"shrink","12","12","0","100%"
"sdrp","3","3","0","100%"
"searchables","1","1","0","100%"
"simplemagnets","38","38","0","100%"
"simplylight","192","192","0","100%"
"simplyswords","1535","1535","0","100%"
"simpleteleporters","40","40","0","100%"
"simpletomb","84","84","0","100%"
"schematicenergistics","29","29","0","100%"
"rftoolsbuilder","92","92","0","100%"
"rftoolspower","65","65","0","100%"
"resourcepackoverrides","12","12","0","100%"
"rftoolsbase","55","55","0","100%"
"rftoolsutility","242","242","0","100%"
"rsinfinitybooster","5","5","0","100%"
"rsrequestify","8","8","0","100%"
"rgp_client","129","129","0","100%"
"routers","62","62","0","100%"
"irons_apothic","289","289","0","100%"
"caelus","2","2","0","100%"
"carbonconfig","56","56","0","100%"
"cable_facades","16","16","0","100%"
"cabletiers","190","190","0","100%"
"cataclysm","700","700","0","100%"
"chipped","7265","7265","0","100%"
"chisel","2554","2554","0","100%"
"chancecubes","40","40","0","100%"
"chicken_roost","583","583","0","100%"
"busy_villagers","3","3","0","100%"
"betterblockz","1381","1381","0","100%"
"bhc","49","49","0","100%"
"belts","21","21","0","100%"
"betteradvancements","1","1","0","100%"
"bhmenu","57","57","0","100%"
"brandonscore","102","102","0","100%"
"buildinggadgets2","112","112","0","100%"
"bonsaitrees4","79","79","0","100%"
"bookshelf","208","208","0","100%"
"cosmeticarmorreworked","5","5","0","100%"
"craftingstation","5","5","0","100%"
"controlling","12","12","0","100%"
"cookingforblockheads","258","258","0","100%"
"craftingtweaks","37","37","0","100%"
"create_central_kitchen","37","37","0","100%"
"create_connected","307","307","0","100%"
"crashutilities","4","4","0","100%"
"create","3628","3628","0","100%"
"constructionstick","141","141","0","100%"
"cloth-config2","49","49","0","100%"
"codechickenlib","18","18","0","100%"
"classicpipes","161","161","0","100%"
"clavis","31","31","0","100%"
"cognition","192","192","0","100%"
"computercraft","235","235","0","100%"
"connectedglass","120","120","0","100%"
"colorfulhearts","14","14","0","100%"
"compactmachines","58","58","0","100%"
"beer","28","28","0","100%"
"almostunified","6","6","0","100%"
"amendments","93","93","0","100%"
"akashictome","11","11","0","100%"
"ali","557","557","0","100%"
"antiblocksrechiseled","147","147","0","100%"
"apothic_compats","701","701","0","100%"
"apothic_enchanting","415","415","0","100%"
"apotheosis","723","723","0","100%"
"apothic_attributes","159","159","0","100%"
"ae2wtlib","43","43","0","100%"
"advanced_ae","246","246","0","100%"
"advancedperipherals","86","86","0","100%"
"accelerateddecay","0","0","0","0%"
"actuallyadditions","1025","1025","0","100%"
"ae2","1021","1021","0","100%"
"ae2netanalyser","38","38","0","100%"
"ae2things","12","12","0","100%"
"ae2addonlib","11","11","0","100%"
"ae2ct","19","19","0","100%"
"artifacts","441","441","0","100%"
"authme","53","53","0","100%"
"ars_ocultas","1","1","0","100%"
"arseng","17","17","0","100%"
"avaritia","136","136","0","100%"
"bambooeverything","22","22","0","100%"
"bcc","2","2","0","100%"
"baguettelib","3","3","0","100%"
"balm","47","47","0","100%"
"ars_nouveau","2356","2356","0","100%"
"appflux","57","57","0","100%"
"appleskin","22","22","0","100%"
"apothic_spawners","89","89","0","100%"
"appex","24","24","0","100%"
"appmek","15","15","0","100%"
"ars_elemental","555","555","0","100%"
"ars_hex","45","45","0","100%"
"ars_affinity","162","162","0","100%"
"ars_creo","18","18","0","100%"
"ftboceanmobs","59","59","0","100%"
"ftbpc","15","15","0","100%"
"ftblibrary","112","112","0","100%"
"ftbmaterials","865","865","0","100%"
"ftbpmapi","3","3","0","100%"
"ftbteambases","40","40","0","100%"
"ftbteams","101","101","0","100%"
"ftbquests","646","646","0","100%"
"ftbstuff","183","183","0","100%"
"ftbfiltersystem","65","65","0","100%"
"fluxnetworks","123","123","0","100%"
"framedblocks","432","432","0","100%"
"fdlib","2","2","0","100%"
"findme","4","4","0","100%"
"ftbauxilium","13","13","0","100%"
"ftbechoes","56","56","0","100%"
"ftbessentials","94","94","0","100%"
"ftbbackups3","69","69","0","100%"
"ftbchunks","334","334","0","100%"
"industrialforegoing","678","678","0","100%"
"industrialforegoingsouls","5","5","0","100%"
"guideme","36","36","0","100%"
"immersiveengineering","1952","1952","0","100%"
"inventoryessentials","36","36","0","100%"
"ironchest","36","36","0","100%"
"ironfurnaces","143","143","0","100%"
"inventorysorter","25","25","0","100%"
"iris","73","73","0","100%"
"glassential","128","128","0","100%"
"ftbxmodcompat","0","0","0","0%"
"functionalstorage","157","157","0","100%"
"ftbultimine","83","83","0","100%"
"ftbunearthed","40","40","0","100%"
"fusion","8","8","0","100%"
"gateways","96","96","0","100%"
"gaze","343","343","0","100%"
"fzzy_config","284","284","0","100%"
"gag","55","55","0","100%"
"fdbosses","256","256","0","100%"
"custommachineryars","22","22","0","100%"
"custommachinerycreate","10","10","0","100%"
"curios","48","48","0","100%"
"custommachinery","553","553","0","100%"
"custommachinerymekanism","36","36","0","100%"
"dimdungeons","0","0","0","0%"
"draconicevolution","735","735","0","100%"
"databank","16","16","0","100%"
"deepdarkdimdungeons","10","10","0","100%"
"cucumber","16","16","0","100%"
"create_hypertube","30","30","0","100%"
"create_shimmer","50","50","0","100%"
"create_dragons_plus","133","133","0","100%"
"create_enchantment_industry","242","242","0","100%"
"createaddition","260","260","0","100%"
"crystalix","216","216","0","100%"
"ctm","7","7","0","100%"
"createenchantablemachinery","56","56","0","100%"
"createenderstorage","3","3","0","100%"
"extendedae","251","251","0","100%"
"extrastorage","46","46","0","100%"
"entityjs","1","1","0","100%"
"explorerscompass","68","68","0","100%"
"extremesoundmuffler","76","76","0","100%"
"farmersdelight","323","323","0","100%"
"farmingforblockheads","47","47","0","100%"
"fadingnightvision","1","1","0","100%"
"fancymenu","2138","2138","0","100%"
"entityculling","25","25","0","100%"
"durabilitytooltip","12","12","0","100%"
"elevatorid","29","29","0","100%"
"drippyloadingscreen","45","45","0","100%"
"dummmmmmy","7","7","0","100%"
"embeddium","74","74","0","100%"
"enderstorage","8","8","0","100%"
"entangled","24","24","0","100%"
"enchdesc","182","182","0","100%"
"enderdrives","42","42","0","100%"
